"country code",Country,World region,Survey,Year,MPI,"Headcount ratio: Population in multidimensional poverty","Intensity of deprivation among the poor (A)",Vulnerable to poverty,In severe poverty,Year of the survey,Population 2019,Population 2020,Population share by area,"Population size by area",Number of MPI poor by area,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
AFG,Afghanistan,South Asia,DHS,2016,0.327840948,66.8722403804,49.0249685291,17.1600511078,30.4855990801,34636.207,37769.499,38972.23,75.9935361878,29616.375,19805.1328125,9.2871040106,44.8002487421,45.9126472473,,9.2871038012,19.092501945,25.7077469819,10.4938750428,10.0757322451,6.3090990643,5.0135788662,11.1296481272,2.8907139263
ALB,Albania,Europe and Central Asia,DHS,2018,0.0027966847,0.6947375261,40.2552709471,7.3619862164,0.0767308958,2877.013,2873.883,2866.849,41.6401695132,1193.7607421875,8.2935037613,28.9711117744,48.7921863794,22.2367033362,28.9711103525,0,22.7714781108,26.0207086064,10.4694798035,2.1965468314,2.7408899893,0,5.7865626152,1.0432236909
DZA,Algeria,Arab States,MICS,2019,0.0106660005,2.6437001911,40.344970022,6.3338126066,0.4724861792,42705.368,42705.368,43451.666,36.9038058586,16035.318359375,423.9257507324,27.0113706589,48.760920763,24.2277085781,22.1418071133,4.8695623525,30.4900314897,18.2708901796,1.7058053108,7.6103464734,5.4383699132,2.3197170597,5.6818406663,1.4716294415
AGO,Angola,Sub-Saharan Africa,DHS,2016,0.5225562726,88.1721531649,59.2654544338,7.9412652498,66.5401559973,29154.746,32353.588,33428.486,36.4821897913,12195.443359375,10752.9853515625,18.0368706584,32.1642637253,49.7988641262,14.8599259794,3.176945226,20.1520720707,12.0121902114,8.8840934787,8.6804146365,7.8101498469,8.76107796,9.1510086082,6.5121219821
ARM,Armenia,Europe and Central Asia,DHS,2016,0.0016544466,0.4568534446,36.2139469067,4.9090984472,0,2865.835,2820.602,2805.608,41.7099585915,1170.2178955078,5.3461809158,33.1113874912,36.7746889591,30.1139205694,33.1113880261,0,5.7128028186,31.0618877202,5.8425034151,15.3409280957,3.082697916,0,1.9042676062,3.9435244021
BGD,Bangladesh,South Asia,MICS,2019,0.1160719269,27.4245211445,42.3241398902,19.179132334,7.3314981792,165516.222,165516.222,167420.951,78.4292729667,131307.03125,36010.32421875,17.1648427844,36.8665337563,45.9686219692,15.1186265311,2.0462155343,26.4145784537,10.4519558902,12.8559341379,8.1057075981,0.7907412996,2.639939018,12.7282857624,8.8480157746
BRB,Barbados,Latin America and the Caribbean,MICS,2012,0.0077317133,2.2391586164,34.5295472981,0.7411200014,0,276.197,280.18,280.693,37.3410860671,104.8138122559,2.3469474316,95.3185737133,0.6085517351,4.0728714317,95.3185766903,,0.6085517247,0,0,0.9245094349,0,0.2028505749,2.7426610004,0.2028505749
BLZ,Belize,Latin America and the Caribbean,MICS,2016,0.0273599921,6.8246255877,40.0900997616,11.4222203937,1.0904731225,367.313,389.095,394.921,57.795052571,228.2447967529,15.5768527985,38.702660799,21.7317640781,39.5655751228,30.4530764932,8.2495853232,6.4883484266,15.2434149187,10.1291504778,6.433029726,2.2478553539,8.2895116455,8.9767044131,3.489323222
BEN,Benin,Sub-Saharan Africa,DHS,2018,0.4432753399,78.5267076841,56.4489907909,11.8375651254,50.8813568436,11940.683,12290.444,12643.123,60.0178112096,7588.1254882813,5958.705078125,20.4044297338,36.5097105503,43.0858582258,15.8157344765,4.5886957654,19.8992634336,16.6104478184,9.7883474762,9.5996923127,5.6896990957,8.5272993555,6.8339223716,2.6468978943
BTN,Bhutan,South Asia,MICS,2010,0.2291820935,48.3630569604,47.3878426904,20.5114577474,19.8602490714,705.516,767.459,772.506,71.74897428,554.2651367188,268.0595703125,23.2620373368,36.1405342817,40.5974268913,11.2841183572,11.9779193225,28.2063624716,7.9341715521,9.3169819213,7.0679379659,1.0823920876,6.9094284769,10.0781866154,6.1425012295
BOL,Bolivia,Latin America and the Caribbean,EDSA,2016,0.1100603455,26.3048728717,41.8402879437,22.675533226,5.688468402,11263.015,11777.315,11936.162,31.3588011626,3743.0373535156,984.6011962891,17.1046718955,31.0002326965,51.8950939178,15.1562832619,1.9483889845,25.4563487776,5.5438855478,11.1370893597,12.87713158,4.6600845189,5.9603759485,11.428163854,5.8322481671
BIH,Bosnia and Herzegovina,Europe and Central Asia,MICS,2012,0.0080675393,2.0710376315,38.9540931621,5.3234348011,0.0713648378,3674.374,3360.711,3318.407,65.7875165495,2183.09765625,45.2127723694,79.7923445702,4.0686909109,16.1389678717,79.7923416083,,2.8892345634,1.1794565071,12.6961324886,1.618842067,0.3612526049,0.3616805388,0.2703256238,0.830733998
BWA,Botswana,Sub-Saharan Africa,BMTHS,2016,0.1421801807,32.9225477718,43.1862630232,28.4445421789,7.3728137289,2352.416,2499.702,2546.402,35.8274013309,912.3096923828,300.3555908203,26.4343619347,17.4674928188,56.0981452465,25.4232194223,1.0111411138,11.0237312358,6.4437617677,12.8028380894,10.7975840293,3.5015186716,11.9887020357,8.5305677222,8.4769359121
BRA,Brazil,Latin America and the Caribbean,PNAD,2015,0.0596099037,14.1789683647,42.0410724807,19.0274159265,3.4001485456,205188.205,211782.878,213196.304,15.2920062464,32601.9921875,4622.6259765625,34.8858237267,28.5617858171,36.5523904562,,34.8858225275,26.3802864457,2.1815011278,7.2990472784,12.916498571,10.9607908078,0.9435074535,2.8163294984,1.6162162898
BFA,Burkina Faso,Sub-Saharan Africa,DHS,2010,0.6079165261,95.0699991255,63.9440971585,3.3411355398,77.5798933011,16116.845,20951.639,21522.626,78.2523378232,16841.95703125,16011.6484375,20.2987745404,40.615862608,39.0853643417,14.8941995273,5.4045743464,21.8854987351,18.7303631615,8.6393883525,8.187508682,4.4305142283,8.6107778257,7.7611533149,1.4560218263
