"country code",Country,World region,Survey,Year,MPI,"Headcount ratio: Population in multidimensional poverty","Intensity of deprivation among the poor (A)",Vulnerable to poverty,In severe poverty,Year of the survey,Population 2019,Population 2020,Population share by area,"Population size by area",Number of MPI poor by area,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
BDI,Burundi,Sub-Saharan Africa,DHS,2017,0.4417529181,80.6547386522,54.7708572934,14.1709179337,50.165935147,11155.593,11874.838,12220.227,89.0699577519,10884.55078125,8778.90625,23.6109688878,27.3248404264,49.0641862154,20.4630107112,3.1479581353,17.4877648223,9.8370769927,10.1125402188,6.1324308086,5.8798086409,10.0289070804,9.6824923103,7.2280102795
KHM,Cambodia,East Asia and the Pacific,DHS,2014,0.1969133798,42.8055979496,46.0017823053,22.3794362913,15.4847775437,15210.817,16207.746,16396.86,83.7552267269,13733.2275390625,5878.5903320313,21.4881628752,31.4275354147,47.0843017101,19.6747611894,1.8134011338,21.1316009034,10.2959343775,11.9122861701,10.0720636084,7.0582999145,8.7378117863,7.1226446352,2.1811962814
CMR,Cameroon,Sub-Saharan Africa,DHS,2018,0.3887626031,71.0576145105,54.7108998485,16.3466269179,43.5072725902,25076.747,25782.341,26491.087,50.0847320806,13267.990234375,9427.9169921875,23.8180473447,28.1327456236,48.0492055416,18.2042336296,5.6138139936,14.0309973764,14.1017481117,10.0568949856,8.0639220015,6.6614244373,8.7589799964,9.0782521435,5.4297333244
CAF,Central African Republic,Sub-Saharan Africa,MICS,2019,0.5623573658,93.6541965163,60.0461470675,5.8704547894,72.3127968671,5209.324,5209.324,5343.02,64.8062820042,3462.6125488281,3242.8820800781,19.0177217126,29.8828870058,51.099395752,14.8828601756,4.1348614401,18.3949196473,11.4879665045,9.2154890975,8.8047832452,7.3975550262,8.8690285196,8.9523172733,7.8602190708
TCD,Chad,Sub-Saharan Africa,MICS,2019,0.567140565,90.4159118298,62.7257474432,8.6863204817,72.0941560847,16126.866,16126.866,16644.701,81.1176504568,13501.7900390625,12207.7666015625,18.7611654401,36.4254176617,44.8134183884,14.0266688967,4.7344964576,18.8081903304,17.6172283346,8.8124615721,8.4469405735,5.3160832158,8.7368366788,8.6665646466,4.8345292941
CHN,China,East Asia and the Pacific,CFPS,2014,0.0262860987,6.1650187687,42.6374999413,26.0138887065,0.6495001057,1385189.668,1421864.031,1424929.781,44.7113913357,637105.9375,39277.69921875,33.1372231245,38.0194365978,28.8433402777,32.6281138586,0.5091099434,23.6220537274,14.3973832065,12.8222120754,4.1963155592,8.2635677003,0.1682348569,,3.3930090722
COL,Colombia,Latin America and the Caribbean,DHS,2016,0.0720979523,17.5737157007,41.0260149316,19.8226401524,3.1840459129,47625.955,50187.406,50930.662,23.9113587716,12178.212890625,2140.1645507813,6.348336488,41.1268532276,52.5248110294,,6.3483364838,34.5113786198,6.6154750989,11.6102726612,10.4615445136,10.1438131064,4.5866930828,11.9754219871,3.7470644465
COM,Comoros,Sub-Saharan Africa,DHS,2012,0.2240404475,45.723410862,48.9990670679,22.7483887837,20.0943558512,684.553,790.986,806.166,68.6739692586,553.6262207031,253.1367950439,20.5372482538,31.3891798258,48.0735749006,17.2418496784,3.295397954,17.9776837864,13.4114961071,11.1984515699,9.4649928083,6.1820167529,6.9591570641,7.1001861526,7.1687681262
COG,Congo,Sub-Saharan Africa,MICS,2015,0.2670955852,56.259570692,47.4755818202,27.4133770072,24.5398340865,5064.386,5570.733,5702.174,32.8742018162,1874.5441894531,1054.6104736328,20.9469228983,20.09023875,58.9628398418,16.4500354131,4.496887671,15.2748823615,4.8153569478,11.6160564344,11.3388902537,8.4672147106,10.3821286705,10.5939054852,6.5646420522
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2018,0.4599073735,87.0191315426,52.8512943525,11.6306318604,55.0709347624,87087.355,89906.89,92853.164,56.206732607,52189.73046875,45415.05078125,21.9521135092,19.8698967695,58.1779897213,18.7795958485,3.1725170702,8.9116986392,10.9581982453,10.4657986133,9.7631604006,9.2121374494,9.8909839021,10.2993627136,8.5465471177
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,0.0031607444,0.8229221597,38.4087891145,3.5713498816,0.0504109504,5040.734,5084.532,5123.105,29.9203725318,1532.8520507813,12.6141796112,39.4941210747,41.494011879,19.0118685365,16.4126369775,23.0814827684,31.1114249991,10.3825864953,,5.2002867778,1.675499802,1.6294130481,8.0544704113,2.4521987205
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,0.3703019179,70.3331331267,52.6497116546,15.1290315565,40.6851364641,24213.622,26147.551,26811.79,52.9180116957,14188.2666015625,9979.052734375,18.7890946865,38.9517962933,42.2591120005,14.2443702883,4.5447236448,21.9801777082,16.9716172239,10.384510328,9.4761070991,5.9626878834,7.6736660199,6.3966716492,2.3654681553
CUB,Cuba,Latin America and the Caribbean,MICS,2019,0.0064537703,1.6740533197,38.5517609989,5.4509681135,0.255756383,11316.697,11316.697,11300.698,36.8418548135,4163.38671875,69.6973114014,8.4857068956,40.4855072498,51.0287880898,5.6435539196,2.8421527492,32.291617935,8.1938897504,8.474600356,10.8836894138,4.3861865601,1.0166054546,13.8056377723,12.462066089
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,0.0202901489,5.1099560128,39.7070910895,9.534271974,0.717454686,10881.882,10881.882,10999.664,25.6008554627,2816.0080566406,143.896774292,9.2096425593,45.9623605013,44.8279976845,5.8247535873,3.3848892983,36.3472900931,9.6150683293,9.9185757048,8.931901983,2.8567292902,3.9003775745,11.12788889,8.0925252496
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,0.0197347384,5.1155245819,38.5781323476,11.8247926286,0.4412575471,17015.672,17343.74,17588.595,31.1187657738,5473.353515625,279.9907531738,31.2734872103,23.2862427831,45.4402685165,29.2437972017,2.0296900045,15.8488866637,7.4373558482,8.7396921989,7.5855228354,7.0828091439,4.1241351892,7.8680103683,10.0401005462
EGY,Egypt,Arab States,DHS,2014,0.0240819026,6.3122554774,38.1510265041,8.8533351591,0.7114534309,95592.324,105618.671,107465.134,62.9872157371,67689.296875,4272.7211914063,39.8737758398,51.6812860966,8.4449402988,33.0159706255,6.8578042873,24.3840776,27.2972072545,,2.9975605724,1.3785903737,0.2303116237,3.001929284,0.836548379
SLV,El Salvador,Latin America and the Caribbean,MICS,2014,0.0648065484,15.6794665987,41.3321128897,16.3889305628,3.1823771622,6209.526,6280.217,6292.731,39.0333911601,2456.2663574219,385.1294555664,13.8419166207,42.7868545055,43.3712273836,12.1201761166,1.7217403003,26.4954758755,16.2913813602,11.4364251184,8.7948162523,3.7259852844,4.1743436573,10.7528415565,4.4868144786
SWZ,eSwatini,Sub-Saharan Africa,MICS,2014,0.1019710346,24.0650788565,42.3730315831,23.7989184783,5.5730096299,1125.865,1169.613,1180.655,73.8147968284,871.4981079102,209.7266998291,28.5128027201,17.7812248468,53.7059783936,23.5415210802,4.971280297,12.3030871051,5.4781373289,12.6939974455,8.658895396,9.2389904331,10.7663274777,6.2118975733,6.1358658632
ETH,Ethiopia,Sub-Saharan Africa,DHS,2019,0.4334083149,79.6938425638,54.3841658265,16.9778435932,50.9588369005,114120.594,114120.594,117190.911,72.9273148758,85464.1875,68109.6953125,13.6877313256,31.1509609222,55.1613032818,11.8527902806,1.8349403236,17.2748587751,13.8761032744,10.1809601468,9.665468012,7.2678394205,9.3558815858,10.1087655072,8.5823926739
GAB,Gabon,Sub-Saharan Africa,DHS,2012,0.2422064556,51.4021606997,47.1198977376,22.0396073074,22.7530588124,1836.705,2242.785,2292.573,16.0525010832,368.0153198242,189.1678314209,23.5393032432,21.1194336414,55.3412616253,18.642600417,4.8967026739,16.7863674617,4.3330653904,9.7645353748,11.5426093328,9.4503648116,8.7733898435,8.5289595455,7.2814051489
GMB,Gambia,Sub-Saharan Africa,DHS,2020,0.3439116179,67.4992708487,50.950419698,18.0847770753,37.9343488599,2573.995,2508.883,2573.995,31.0134835872,798.2855224609,538.8369140625,29.2519360781,33.4201842546,37.3278796673,22.5514064965,6.7005299927,12.7944436721,20.6257408086,10.8917514553,8.5267653988,2.9408953974,9.1059673948,4.9841884398,0.878310944
GEO,Georgia,Europe and Central Asia,MICS,2018,0.0024780288,0.6815572572,36.3583367838,3.8727106896,0,3772.325,3770.811,3765.912,42.5226350764,1601.3649902344,10.9142189026,42.9536551237,23.4197020531,33.626639843,7.955298524,34.9983562086,7.2353502233,16.1843523175,8.945700348,7.6190065663,6.3056451324,0.1669669054,8.3857766313,2.2035471432
GHA,Ghana,Sub-Saharan Africa,MICS,2018,0.16120644,35.1418607545,45.8730518309,23.2355379654,13.2787675394,30870.641,31522.29,32180.401,53.8802819516,17338.890625,6093.208984375,22.8092685342,29.6997189522,47.491016984,18.2522038796,4.557064888,18.2157272797,11.483990704,12.0421845953,11.0352030872,7.0044066536,5.7091530553,7.8128248785,3.8872409788
GTM,Guatemala,Latin America and the Caribbean,DHS,2015,0.1927584132,41.3403183753,46.627220291,23.3707126302,16.5745060865,16001.107,17106.338,17362.718,57.7307102574,10023.6201171875,4143.7963867188,25.7267177105,34.5105201006,39.7627621889,23.1541936474,2.5725252098,19.7630345826,14.7474848397,11.740963684,4.5193198037,4.4527878909,4.5591892833,9.7882876404,4.702213418
GIN,Guinea,Sub-Saharan Africa,DHS,2018,0.5030144277,86.3914255088,58.2250408201,9.1177546117,61.6245300699,12554.864,12877.539,13205.153,65.7710612908,8685.1689453125,7503.2412109375,20.3948065639,38.5093837976,41.0958111286,15.1258923328,5.2689138621,21.2502154216,17.2591675491,9.5300001111,8.2055056993,5.6819143054,7.7098739398,6.206194717,3.7623220617
GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2019,0.4457713506,80.9996308843,55.0337508641,15.4465596003,50.650382352,1970.457,1970.457,2015.828,64.3438243024,1297.0607910156,1050.6145019531,18.727914989,36.1756533384,45.0964331627,15.5592742028,3.1686412792,21.3498468134,14.8258058924,10.0746938839,9.8089598371,5.7936475849,7.4019534879,10.032010678,1.9851663406
GUY,Guyana,Latin America and the Caribbean,MICS,2020,0.0067192233,1.7134534377,39.2145076365,7.1279622658,0.2192778443,797.202,798.753,797.202,75.6248140953,602.8825073242,10.3301115036,26.2309998274,24.9050721526,48.8639295101,23.9299165148,2.3010836032,13.9239239953,10.98114794,8.1490456635,5.9840727842,5.2515583391,7.9495777791,10.8915124963,10.6381608846
HTI,Haiti,Latin America and the Caribbean,DHS,2017,0.2849186847,57.5788454438,49.4832229613,22.4259047419,28.2767678211,10863.543,11160.438,11306.801,61.009867725,6898.2641601563,3971.9409179688,17.0438721776,25.1590758562,57.7970564365,14.1334802193,2.9103913912,19.6898576029,5.4692168138,11.1635235242,9.831313661,8.5865591195,10.5894299445,8.6437838893,8.9824438343
HND,Honduras,Latin America and the Caribbean,MICS,2019,0.082334797,19.0886765204,43.1327949435,20.8955777218,5.1600520046,9958.829,9958.829,10121.763,55.6778042885,5635.5751953125,1075.7567138672,18.3193355799,38.4557574987,43.2249039412,16.489693311,1.8296429183,19.4860549511,18.9697021598,12.4609759985,6.5332218559,2.0850072541,5.9149813535,9.9571288607,6.2735913373
IND,India,South Asia,DHS,2021,0.0894163676,21.2376672842,42.1027254869,22.3321332808,5.64547357,1407563.842,1383112.05,1396387.127,69.1845070308,966083.5625,205173.609375,31.7787647247,27.2705942392,40.9506380558,28.4300355802,3.3487300349,18.3367790156,8.9338161742,11.7044123297,9.2836380596,2.2600839218,1.7195310291,11.3921502982,4.5908235567
IDN,Indonesia,East Asia and the Pacific,DHS,2017,0.0207803099,5.2545376808,39.547361106,7.56091651,0.7503920169,264498.852,269582.878,271857.97,50.3680057803,136929.4375,7195.0087890625,23.9098295569,30.686673522,45.4034984112,,23.9098291382,21.4997864984,9.1868877066,11.1377298813,10.073706325,6.2735757296,3.7397284594,6.0774211201,8.1013351415
IRQ,Iraq,Arab States,MICS,2018,0.0496714195,12.63152376,39.3233788799,9.9462533789,2.2121340424,40590.7,41563.52,42556.984,30.6848661373,13058.5537109375,1649.4942626953,30.412042141,60.3122413158,9.2757180333,23.7781291319,6.6339129689,27.3671234745,32.945116659,0.3578366823,3.6736080988,1.3700563802,0.1329077936,3.2776148045,0.4636940063
JAM,Jamaica,Latin America and the Caribbean,JSLC,2018,0.0145714937,3.7798683884,38.5502673348,6.7638452084,0.283243083,2811.835,2813.773,2820.436,46.352785675,1307.3507080078,49.4161376953,47.3863959312,20.92410326,31.6895037889,47.3863949971,,11.4103269057,9.5137756698,5.8880936268,4.6692852258,10.0220638887,2.1924895974,6.5610581076,2.3565119811
JOR,Jordan,Arab States,DHS,2018,0.0039703192,1.1313766249,35.0928163875,1.1420431945,0,10459.865,10698.683,10928.721,10.7744816071,1177.5130615234,13.3221073151,45.6932097673,47.2264826298,7.0803076029,22.5223473678,23.1708637121,24.4118982994,22.8145834273,0.5336441418,0.3414771846,2.6776377746,0,3.0249968663,0.5025512261
KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,0.0027249109,0.7549293289,36.0949142066,3.0023100926,0,17835.909,18754.258,18979.243,46.8109639104,8884.3662109375,67.0706863403,88.177216053,3.9314158261,7.891368866,45.9340742647,42.2431409914,0.2404825476,3.6909332733,1.3104719403,0,2.6333435449,0.0801608492,3.7872317396,0.0801608492
KEN,Kenya,Sub-Saharan Africa,DHS,2014,0.2177120683,47.0198164978,46.3021943729,40.9656485102,16.7436361291,45831.863,50951.45,51985.78,66.2442164772,34437.57421875,16192.484375,22.5238844752,15.2398094535,62.236303091,19.4103135563,3.1135714866,10.0296450507,5.2101636676,11.9625537152,10.6380711936,9.2142326502,11.7147015562,11.9897160824,6.7170310412
KIR,Kiribati,East Asia and the Pacific,MICS,2019,0.1180851971,28.9272946543,40.8213759902,42.0489063145,5.3162717931,124.241,124.241,126.463,46.1060067902,58.3070411682,16.8666496277,26.6792595387,10.4395262897,62.8812193871,19.618603902,7.0606557413,0.7442631625,9.6952629816,12.9269690506,11.0012275906,7.3675664786,11.7303877739,13.5445732935,6.3104900255
KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2018,0.0021299384,0.5869260308,36.2897238955,7.1550832217,0,6223.494,6323.643,6424.874,63.879508115,4104.177734375,24.0884876251,63.2722914219,18.7116518617,18.0160567164,45.9266835832,17.3456082945,4.8346834815,13.876968976,10.7866522699,1.7944405148,3.9395957846,0,1.4953670956,0
LAO,Lao PDR,East Asia and the Pacific,MICS,2017,0.1459582374,30.8840018044,47.2601440568,23.4842038901,13.1329914087,6997.917,7212.053,7319.399,69.478034602,5085.3745117188,1570.5671386719,21.0225373507,39.764341712,39.2131209373,18.1416921859,2.8808451937,25.6828974591,14.0814462494,11.6688388459,8.9386478791,5.4554109007,3.2570360303,6.1193162458,3.77386901
LSO,Lesotho,Sub-Saharan Africa,MICS,2018,0.1197882196,27.5932608263,43.4121288912,34.2691772454,7.463127582,2198.017,2225.702,2254.1,63.743451395,1436.8411865234,396.4713439941,21.0555255413,17.831787467,61.1126840115,18.5719843805,2.4835412014,10.6733937012,7.1583940776,,11.4765550083,9.6623611771,14.6013962057,13.3145052443,12.057869004
LBR,Liberia,Sub-Saharan Africa,DHS,2020,0.3885661411,75.4197294558,51.5204899227,19.1592507764,39.9414605644,5087.584,4985.289,5087.584,42.551109365,2164.8234863281,1632.7039794922,17.5198301673,28.6724507809,53.8077175617,14.1494644775,3.3703662044,17.8432502402,10.8292006614,10.722289158,10.0713358024,5.2416541841,10.5126048819,9.0843999357,8.1754344543
LBY,Libya,Arab States,PAPFAM,2014,0.0070042948,1.8869392153,37.1198751625,12.9954940417,0.0948850995,6097.764,6569.088,6653.942,12.2093111269,812.4004516602,15.3295030594,46.9578295946,37.854924798,15.1872470975,39.1493735569,7.8084558366,21.2317260181,16.6231980585,0,3.7957704078,6.4121507411,0.9930775372,3.8100799078,0.1761679359
MDG,Madagascar,Sub-Saharan Africa,MICS,2018,0.4358938967,77.3470309021,56.3556081759,13.0122105107,52.8507187056,26846.541,27533.134,28225.177,77.1081529784,21763.912109375,16833.740234375,15.1092648506,33.436909318,51.4538228512,12.8742750023,2.2349894584,21.6247432393,11.8121657336,9.8402005803,9.7417910927,7.7809397395,8.0370531093,8.9303114748,7.1235305698
MWI,Malawi,Sub-Saharan Africa,MICS,2020,0.2571371787,55.1356810608,46.6371637632,28.4237877438,19.9673995625,19377.061,18867.337,19377.061,84.5170144764,16376.9130859375,9029.5224609375,18.1371822953,25.8816480637,55.9811711311,15.5788214202,2.558361158,20.285747891,5.5958998882,11.8627653547,7.5773624219,5.4375129955,11.2422402802,11.0029030929,8.8583854974
MDV,Maldives,South Asia,DHS,2017,0.0031917523,0.9193237816,34.7184786465,6.2839103292,0,472.442,504.508,514.438,63.4498385843,326.4100952148,3.0007655621,74.6995031834,19.8306888342,5.4698057473,45.1044179611,29.5950870427,6.4181520483,13.4125371521,0.7795136254,0.4933857167,0.8038475389,0.1504834849,3.0920919451,0.1504834849
MLI,Mali,Sub-Saharan Africa,DHS,2018,0.4467738864,79.7017891276,56.0556910097,11.1043860284,54.7273873634,19934.298,20567.424,21224.04,76.9422684211,16330.2578125,13015.5078125,19.0407916903,41.300714016,39.658498764,13.8766018167,5.1641895266,20.9840327703,20.3166808662,9.8208245873,7.6230010991,5.2474579289,6.6553236842,9.109813364,1.2020743567
MRT,Mauritania,Sub-Saharan Africa,DHS,2021,0.5004754501,84.8695230553,58.9699849922,8.9762942174,61.8492442753,4614.974,4383.849,4498.604,53.409225282,2402.6694335938,2039.1340332031,16.2619501352,41.3037329912,42.4343168736,13.8623785308,2.3995714262,20.8349740092,20.4687594835,8.3628463552,7.5151933585,5.6282393282,9.0133192063,8.2570214983,3.6576968037
MEX,Mexico,Latin America and the Caribbean,ENSANUT,2020,0.0410372831,9.8773660956,41.5467875568,7.5435747785,2.2061984055,125998.302,125085.311,125998.302,23.1057745544,29112.8828125,2875.5859375,63.1267309189,11.5560010076,25.3172665834,63.1267314093,,5.5293296538,6.0266717953,8.5895766593,4.5924197777,1.1593171559,0.1896081675,7.3315596088,3.4547857723
MDA,Moldova,Europe and Central Asia,MICS,2012,0.0042640701,1.1879803449,35.8934401256,4.9017946752,0,3507.191,3109.491,3084.847,63.7322912797,1966.0437011719,23.356212616,8.2583926618,39.0513598919,52.6902496815,8.2583928113,0,31.7469916379,7.3043663163,10.3157798853,11.5137340771,10.4804358361,1.1300294089,9.2824363992,9.9678336279
MNG,Mongolia,East Asia and the Pacific,MICS,2018,0.0626445509,15.8533469298,39.5150318902,31.2099355201,1.8044801455,3163.991,3232.43,3294.335,32.8424000575,1081.9387207031,171.5234985352,17.6036015153,27.8093189001,54.5870840549,14.5709187141,3.0326826704,19.9907326276,7.8185862602,13.979019863,14.0029761969,10.5538177151,1.9615138149,12.5189576471,1.5707944906
MNE,Montenegro,Europe and Central Asia,MICS,2018,0.0054831,1.3355191738,41.0559435828,3.7223409651,0.1688478433,631.455,630.396,629.048,35.2135107932,221.5098876953,2.9583070278,24.4397610426,49.7399806976,25.8202582598,23.1510995939,1.2886613477,22.767003509,26.9729766166,11.8829323629,2.6839638255,0.4076376451,1.4339286269,7.9925598391,1.4192366335
MAR,Morocco,Arab States,PAPFAM,2018,0.0616719527,14.3433444033,42.9969126755,22.044528578,3.6105305536,35927.511,36304.408,36688.772,38.2158731822,14020.9345703125,2011.0709228516,22.9748591781,45.5999046564,31.4252346754,19.8128916276,3.1619676628,29.6768842543,15.9230212691,4.4491584127,5.4674866107,7.8519271137,2.3636395533,8.6455664901,2.6474570055
MOZ,Mozambique,Sub-Saharan Africa,DHS,2011,0.5116345984,87.7776289046,58.2875847471,9.4968312554,63.4081739164,23760.421,30285.595,31178.239,68.8421053913,21463.755859375,18840.375,17.1129629016,32.8202575445,50.066781044,14.3092889953,2.8036734355,21.0308149589,11.7894419605,9.480325361,8.5566939283,7.8231480226,9.2009436199,9.193510349,5.812159369
MMR,Myanmar,East Asia and the Pacific,DHS,2016,0.2212778495,47.8367739219,46.2568503972,23.6392106947,17.7807563747,51892.349,53040.212,53423.198,73.5013196878,39266.75390625,18783.94921875,17.8829014301,32.380849123,49.7362524271,16.1291471753,1.753754883,24.0843548882,8.2964933471,11.8339484839,8.7112535656,4.3392093493,8.7466967507,11.0270844055,5.0780571514
NAM,Namibia,Sub-Saharan Africa,DHS,2013,0.2808172427,61.1777001362,45.9018959716,22.7095647985,20.2057613124,2204.51,2446.644,2489.098,53.4928442691,1331.4892578125,814.5745239258,30.5302143097,13.3548364043,56.1149537563,27.35747828,3.1727362479,6.8371380485,6.5176989716,11.9968203634,11.1787501124,6.9804418197,11.3357769825,9.7988364038,4.8243227702
NPL,Nepal,South Asia,MICS,2019,0.1190800052,28.1016895875,42.37467815,22.8699413382,8.0210468552,28832.496,28832.496,29348.627,32.6563832519,9584.2001953125,2693.322265625,22.0871120691,33.5585743189,44.3543106318,20.2427940899,1.8443180236,26.284516168,7.2740595571,12.629307428,4.1127478572,1.8850120747,4.7701521304,12.5201584688,8.4369342024
NIC,Nicaragua,Latin America and the Caribbean,DHS,2012,0.1591683646,34.7499129955,45.8039606228,22.1809717723,12.497984162,6030.607,6663.924,6755.895,43.4149945321,2933.0715332031,1019.2398071289,10.834800452,36.1886650324,52.9765367508,9.521024715,1.3137759507,27.9080622645,8.2806033524,12.0405406005,4.7221037236,10.5568430673,8.9065794275,10.0573126158,6.6931542828
NER,Niger,Sub-Saharan Africa,DHS,2012,0.6576116352,97.0194224431,67.7814419685,2.3063716034,84.5107017765,17954.407,23443.393,24333.639,84.2338857863,20497.169921875,19886.236328125,21.172568202,36.8185639381,42.0088678598,15.8801405278,5.2924279067,20.7830721074,16.0354913476,8.1433491299,7.8573420514,5.7541059578,7.7581567492,8.1614770871,4.3344371352
