"country code",Country,World region,Survey,Year,Multidimensional Poverty Index,Headcount ratio: Population in multidimensional poverty,Intensity of deprivation among the poor,Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
BWA,Botswana,Sub-Saharan Africa,BMTHS,2016,0.0630541237,14.7105264553,42.8632679345,17.0880980285,3.2634882069,2352.416,2499.702,2546.402,48.4632093842,1234.0681152344,181.5379180908,25.3702282906,19.3643137813,55.2654564381,23.7136617136,1.6565680478,12.810598221,6.5537161896,12.4093930421,11.1990952846,4.3201229175,11.7896569545,8.4097736039,7.1374140254
BRA,Brazil,Latin America and the Caribbean,PNAD,2015,0.0176984248,4.197869509,42.1604930435,6.5978007571,0.9513426175,205188.205,211782.878,213196.304,62.492561976,133231.828125,5592.8984375,47.5810587406,22.7232590318,29.6956837177,,47.5810580486,20.4691861777,2.2540735789,5.2159060058,12.3869926311,8.2529954979,0.704528836,1.9864598291,1.148799395
BFA,Burkina Faso,Sub-Saharan Africa,DHS,2010,0.5340457251,85.461264448,62.4897991555,6.7116538177,66.9204453188,16116.845,20951.639,21522.626,91.7301588587,19742.73828125,16872.39453125,20.7417964935,40.404856205,38.8533443213,15.2149786124,5.5268183239,21.6725380518,18.7323194367,8.8367067347,8.0750581491,4.3912831537,8.6476485163,7.6162187227,1.2864302987
BDI,Burundi,Sub-Saharan Africa,DHS,2017,0.4103229107,75.1237283588,54.6196148258,15.4946418952,46.3921979446,11155.593,11874.838,12220.227,76.6657189621,9368.724609375,7038.1352539063,25.0683009624,26.6442149878,48.28748703,21.620986448,3.4473138836,16.8553154406,9.788898578,10.1369054443,6.0138618915,5.7767347135,9.9722595929,9.6226188966,6.7651051109
KHM,Cambodia,East Asia and the Pacific,DHS,2014,0.1658086825,36.0514873066,45.9921892018,20.8599349165,12.797778108,15210.817,16207.746,16396.86,76.9719443152,12620.982421875,4550.0517578125,22.3616823554,31.1974793673,46.4408367872,20.4432702811,1.9184122509,20.3064752176,10.8910039099,11.7636661392,10.0338221442,7.0609153578,8.6579151388,7.0272180371,1.8973015232
CMR,Cameroon,Sub-Saharan Africa,DHS,2018,0.2446973936,45.3589149307,53.94692398,17.5977788369,26.1666332034,25076.747,25782.341,26491.087,79.9891120982,21189.984375,9611.546875,25.8534699678,28.051418066,46.0951119661,19.54666851,6.3067999121,13.5421968715,14.5092227495,10.1364377383,7.7952591036,6.4039049485,8.2614620546,8.6891961029,4.808852009
CAF,Central African Republic,Sub-Saharan Africa,MICS,2019,0.4642954667,80.4936623156,57.6809966631,13.030021983,55.950673895,5209.324,5209.324,5343.02,77.1951258457,4124.55078125,3320.001953125,21.0099816322,27.4883002043,51.5017151833,16.5162167876,4.4937646871,16.0703315232,11.4179689859,9.5714851748,9.0148137407,7.3569304454,8.960386553,9.0466725395,7.5514295627
TCD,Chad,Sub-Saharan Africa,MICS,2019,0.5138461854,83.7666917484,61.3425425653,11.0906359876,63.745036647,16126.866,16126.866,16644.701,82.6644803088,13759.255859375,11525.673828125,20.2782526612,35.9236389399,43.798109889,15.1107222205,5.1675302644,17.9817545864,17.9418843743,8.8195119655,8.3190900482,5.0605911849,8.6834007975,8.6397849948,4.2757295636
CHN,China,East Asia and the Pacific,CFPS,2014,0.0222871584,5.4761904788,40.6982892275,6.8614704526,0.9392712325,47625.955,50187.406,50930.662,66.1379867667,33684.515625,1844.6282958984,11.1280493438,39.838925004,49.0330249071,,11.1280491288,33.399680775,6.4392452533,10.8084382702,10.0312801323,9.3748873981,4.1953725316,11.3896980485,3.2333484622
COL,Colombia,Latin America and the Caribbean,DHS,2016,0.1895573688,39.2174058419,48.3350096085,21.6264167486,16.7190228188,684.553,790.986,806.166,62.3634131428,502.7526245117,197.1665344238,21.5846329927,30.2622646093,48.1531053782,18.0997980409,3.4848342719,16.6662785907,13.5959860446,11.0532273382,9.5404020971,6.3263712063,6.5995969991,7.6469665154,6.9865388958
COM,Comoros,Sub-Saharan Africa,DHS,2012,0.1041922971,22.6617444851,45.9771740627,21.5103717148,8.3295690373,5064.386,5570.733,5702.174,78.8054531528,4493.6240234375,1018.3336181641,25.2473801374,19.3266928196,55.4259240627,20.5376172557,4.709763758,13.1227093034,6.2039835767,11.7224159299,11.4972321266,7.4195947556,9.8988347223,9.565156758,5.3226918138
COG,Congo,Sub-Saharan Africa,MICS,2015,0.3210463675,63.3020983222,50.7165443133,18.4768436697,34.9463389663,87087.355,89906.89,92853.164,75.2144347983,69838.984375,44209.54296875,24.2889866233,18.2989135385,57.4120998383,20.5148078053,3.7741790779,6.6213742771,11.6775397709,10.8478518346,10.0908092174,8.7708914728,9.7800566271,10.1301010538,7.7923888632
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,MICS,2018,0.0021274436,0.567545733,37.4849714098,2.3479060203,0.0241310758,5040.734,5084.532,5123.105,62.5050630383,3202.1999511719,18.173948288,48.4188467264,34.4747215509,17.1064317226,23.2870860235,25.1317610579,21.7185674621,12.756153999,,3.561208711,2.3509039571,1.9148088765,7.1410536284,2.1384562844
CRI,Costa Rica,Latin America and the Caribbean,MICS,2018,0.2419104717,46.8020839249,51.6879701486,17.5864659372,25.5455586288,24213.622,26147.551,26811.79,84.2315961281,22583.998046875,10569.78125,20.1813131571,40.0177598,39.8009300232,15.0145619275,5.166751013,22.0362432904,17.9815159487,10.1785300483,9.4110923584,5.5864261984,6.9445478091,5.9172001776,1.7631312286
CIV,Côte d'Ivoire,Sub-Saharan Africa,MICS,2016,0.0035877107,0.9299032809,38.5815467246,2.7991469597,0.1516348435,11316.697,11316.697,11300.698,52.5593251735,5939.5708007813,55.2322654724,5.8454096317,44.254308939,49.9002814293,3.709063575,2.1363460353,35.6137506534,8.640556626,8.0725924057,10.8328825638,3.6703559972,1.0588310662,13.7079072303,12.5577138471
CUB,Cuba,Latin America and the Caribbean,MICS,2019,0.0107059026,2.7302930123,39.2115519635,5.6724921236,0.3388199724,10881.882,10881.882,10999.664,54.2603548279,5968.4565429688,162.9563446045,13.066098094,43.4663057327,43.4675991535,9.0152727724,4.0508246628,34.404953387,9.0613506453,9.2371383222,9.8282568273,2.1783385203,3.672394343,10.3547001364,8.1967703834
DOM,Dominican Republic,Latin America and the Caribbean,MICS,2019,0.0079842975,2.0839536852,38.3132195145,5.8930387088,0.1484947576,17015.672,17343.74,17588.595,77.220617357,13582.021484375,283.0430297852,34.0451747179,25.1916468143,40.7631784678,31.5016318462,2.5435413329,13.9338304641,11.2578176817,7.6660869495,7.311785915,6.2029232744,3.5598068734,7.372375527,8.6502001358
ECU,Ecuador,Latin America and the Caribbean,ENSANUT,2018,0.0200432926,5.3477280827,37.4800143966,6.0728940339,0.5821372949,95592.324,105618.671,107465.134,91.7662817319,98616.7578125,5273.755859375,40.3443098068,53.0371665955,6.6185243428,33.6491566593,6.6951530681,24.2318917894,28.8052740707,,2.3478835903,1.0850369314,0.1857925339,2.3709899499,0.628821407
EGY,Egypt,Arab States,DHS,2014,0.0329622905,7.9827469224,41.2919147008,10.3057684271,1.6897324445,6209.526,6280.217,6292.731,67.5975806793,4253.7338867188,339.5648193359,15.4590159655,43.047773838,41.4932101965,13.9072003922,1.5518150844,25.9868408938,17.0609333211,11.0012812238,8.765771646,3.25387268,4.0035892361,10.7595956358,3.7090998867
SLV,El Salvador,Latin America and the Caribbean,MICS,2014,0.0708686828,16.8897818887,41.9595014527,19.4433481424,3.4737584854,1125.865,1169.613,1180.655,51.3553160854,606.3291015625,102.407661438,28.7159472704,19.7449713945,51.5390813351,22.1285116467,6.5874358794,12.8946765673,6.8502943499,11.9569926012,8.8207250097,9.0186686186,10.5522032215,6.0393137614,5.1511783443
SWZ,eSwatini,Sub-Saharan Africa,MICS,2014,0.3723366263,69.4243613952,53.6319843444,18.3443217501,42.722039849,114120.594,114120.594,117190.911,82.2863577513,96432.1328125,66947.390625,14.78600353,30.9218734503,54.2921245098,12.9228853494,1.8631185861,16.8623656776,14.0595083691,10.3025153893,9.7710849148,7.0635974965,8.7443850448,10.2019678575,8.2085713147
ETH,Ethiopia,Sub-Saharan Africa,DHS,2019,0.0651941469,14.6421094202,44.5251056575,18.1855306454,4.7651692677,1836.705,2242.785,2292.573,69.1700128962,1585.7730712891,232.1906280518,34.0038359165,20.7452580333,45.2509075403,24.3805078441,9.6233282398,13.1958694744,7.5493892767,7.7875437558,11.6251680348,7.6267265878,5.8012544688,7.3581859674,5.0520263504
GAB,Gabon,Sub-Saharan Africa,DHS,2012,0.2156244492,45.3144394323,47.5840486827,27.4221586303,19.0342613573,2573.995,2508.883,2573.995,80.7463216092,2078.40625,941.8181152344,32.7686458826,32.7777206898,34.4536364079,24.9284421396,7.8402030538,10.5125230639,22.2651972134,11.5839985384,8.0503988585,2.9006093978,7.5029461901,3.6483013472,0.7673801971
GMB,Gambia,Sub-Saharan Africa,DHS,2020,0.0014016424,0.3772245954,37.1567067428,2.2458556879,0.0172002273,3772.325,3770.811,3765.912,73.7606740373,2777.7619628906,10.4784011841,54.6497166157,18.6316892505,26.7185926437,12.9714963874,41.6782237817,3.1768458079,15.4548426757,7.0515283977,7.0083117923,4.7616409744,0.1701746355,6.5827611546,1.1441743929
GEO,Georgia,Europe and Central Asia,MICS,2018,0.1165859609,25.3154393603,46.0533033944,20.0584995106,9.6523991852,30870.641,31522.29,32180.401,70.7392969507,22764.189453125,5762.8544921875,23.9542022347,30.9915274382,45.054268837,18.5089376468,5.4452645092,18.2403522126,12.7511769028,11.9700855178,10.9859575055,6.8459673594,5.2432822978,7.2452300265,2.7637460215
GHA,Ghana,Sub-Saharan Africa,MICS,2018,0.1374118088,29.720722144,46.2343438795,21.4835407753,11.6352046732,16001.107,17106.338,17362.718,78.5784593005,13643.3564453125,4054.9040527344,26.698076725,34.4460099936,38.8559132814,23.9321505875,2.7659250695,19.2605061535,15.1855041252,11.5910703676,4.499213245,4.4462859159,4.3220526684,9.51726366,4.4800282074
GTM,Guatemala,Latin America and the Caribbean,DHS,2015,0.3853290811,67.5382481251,57.0534610787,16.0993752943,45.5022108689,12554.864,12877.539,13205.153,83.8499276788,11072.51171875,7478.1806640625,21.9227492809,38.4467154741,39.6305352449,16.104059223,5.8186907684,20.4357210711,18.0109942295,9.6655518985,8.1704922584,5.4500542991,7.1704403699,5.9336509482,3.240344934
GIN,Guinea,Sub-Saharan Africa,DHS,2018,0.3675093962,68.4438249039,53.695040674,18.1878959517,39.8641870088,1970.457,1970.457,2015.828,80.5409840009,1623.5677490234,1111.2318115234,19.5969447494,35.5835169554,44.8195368052,16.1766961238,3.4202485601,20.0994450854,15.4840712012,10.3118475415,9.8506761274,5.5406904478,7.1935575999,10.2042325518,1.718534761
GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2019,0.0085378126,2.195169283,38.8936409882,6.355290611,0.2370000465,797.202,798.753,797.202,61.4799885414,490.1196899414,10.7589569092,31.4707398415,20.9974318743,47.5318312645,25.9527233011,5.5180151668,12.8120097705,8.185422147,7.0873442173,5.7627936036,4.4980858198,8.8737086876,12.0544770265,9.2554202598
GUY,Guyana,Latin America and the Caribbean,MICS,2020,0.2082549129,42.5681408508,48.9227174991,21.6450951807,19.9803558522,10863.543,11160.438,11306.801,55.4382668084,6268.2944335938,2668.2963867188,18.1669563055,24.6055960655,57.2274506092,14.915945869,3.2510096397,19.1367242059,5.4688718675,11.2781558128,9.9053745205,8.3917303198,10.2928996825,8.6209172608,8.7383708214
HTI,Haiti,Latin America and the Caribbean,DHS,2017,0.0558291213,12.9370802757,43.1543440681,15.4742204734,3.414597389,9958.829,9958.829,10121.763,68.8683772178,6970.6938476563,901.8042602539,19.144821167,38.7873262167,42.0678526163,17.3093241439,1.8354971716,19.6076900031,19.1796366357,12.2133055256,6.516326229,2.0367231201,5.8261629075,9.6511313443,5.8242029192
HND,Honduras,Latin America and the Caribbean,MICS,2019,0.0662606883,15.8569737709,41.7864652147,18.6324371724,4.0163789177,1407563.842,1383112.05,1396387.127,85.8947770045,1199423.625,190192.296875,32.9329133034,27.3662090302,39.7008776665,29.2417065493,3.691206903,17.7325222743,9.6336874468,11.3653457381,9.1626825014,2.2615212626,1.6697600099,11.0622139889,4.1793533259
IND,India,South Asia,DHS,2021,0.0128953515,3.3128460707,38.9252964543,4.3704428346,0.4400219413,264498.852,269582.878,271857.97,89.1179656522,242274.296875,8026.1743164063,37.9065692425,25.002092123,37.0913416147,,37.9065701328,16.053171146,8.9489194017,9.0994771129,8.4971150345,5.3925800814,3.0947096959,4.9890912211,6.0183661736
IDN,Indonesia,East Asia and the Pacific,DHS,2017,0.0327832536,8.6224403458,38.0208529044,5.3814669191,1.3538142971,40590.7,41563.52,42556.984,92.7986934696,39492.32421875,3405.2021484375,33.2691669464,60.5470001698,6.1838306487,25.7800129088,7.4891542331,27.7247528317,32.8222493158,0.2969410995,2.4394532286,0.7313036113,0.0831635609,2.3489822474,0.2839869628
IRQ,Iraq,Arab States,MICS,2018,0.0098242362,2.5782058407,38.1049333354,4.4272609774,0.097701741,2811.835,2813.773,2820.436,51.3590529006,1448.5491943359,37.3465805054,49.1701543331,22.9865759611,27.8432697058,49.1701548771,,15.7932917755,7.1932836354,4.022068818,4.6948510048,8.1904493352,2.5345094024,5.3954272255,3.0059639261
JAM,Jamaica,Latin America and the Caribbean,JSLC,2018,0.0013374229,0.3741866667,35.7421304654,0.6096106109,0.0015337781,10459.865,10698.683,10928.721,91.5480019245,10005.025390625,37.4374694824,42.9107159376,47.612208128,9.4770751894,20.435095928,22.4756217271,25.3444457624,22.2677613163,0.1213620395,1.5239887086,2.202171123,0,4.4669036993,1.1626496958
JOR,Jordan,Arab States,DHS,2018,0.0016947633,0.4675077295,36.2510219101,2.0021207796,0,17835.909,18754.258,18979.243,70.7974928377,13436.828125,62.8182106018,87.5162959099,4.1794769466,8.3042256534,45.7200590908,41.7962383169,0.2556563194,3.9238207739,1.3931590311,0,2.7995001104,0.0852187731,3.9411288112,0.0852187731
KAZ,Kazakhstan,Europe and Central Asia,MICS,2015,0.1563293936,34.6518339651,45.1143202758,36.2137928024,10.4818167882,45831.863,50951.45,51985.78,69.5309860268,36146.2265625,12525.330078125,25.6907433271,13.4849727154,60.8242809772,21.8816199595,3.8091242866,8.1648379176,5.3201353183,12.0857917887,10.7102470954,8.7354933457,11.3918163003,12.290770137,5.6101638508
KEN,Kenya,Sub-Saharan Africa,DHS,2014,0.0869490822,21.3681941531,40.6908892685,31.9916560925,3.9428886495,124.241,124.241,126.463,74.3044439535,93.967628479,20.0791854858,30.2871406078,12.1822610497,57.5305998325,21.0433652612,9.2437748026,0.7342641297,11.4479965536,10.6754577539,11.1062780584,5.6331638308,10.5896565503,13.2824108243,6.2436322353
KIR,Kiribati,East Asia and the Pacific,MICS,2019,0.0017015474,0.4714459025,36.0921032744,5.3239556853,0,6223.494,6323.643,6424.874,77.7297762414,4994.0400390625,23.5441970825,65.1651144028,17.0383214951,17.7965655923,46.1781529881,18.986960111,4.9735349147,12.0647866883,10.3595344489,1.8459765953,4.0527404244,0,1.5383138294,0
KGZ,Kyrgyzstan,Europe and Central Asia,MICS,2018,0.1124361842,23.8323965698,47.1778756677,21.0817495916,10.0518155257,6997.917,7212.053,7319.399,88.9926810767,6513.7294921875,1552.3778076172,21.7667400837,39.4297987223,38.803461194,18.7350978801,3.0316415288,25.3535437504,14.076254818,11.6878276829,8.8005789887,5.3776996386,3.1642409654,6.2062595949,3.5668551523
LAO,Lao PDR,East Asia and the Pacific,MICS,2017,0.0851392039,19.6180620171,43.3983763612,26.8914447618,5.3203843393,2198.017,2225.702,2254.1,60.3812467599,1361.0537109375,267.0123596191,22.0414429903,18.4584930539,59.5000624657,18.6904245311,3.3510184674,10.9172502833,7.541242427,,11.8012795095,9.104441926,14.3303675713,12.7555075674,11.5084677171
LSO,Lesotho,Sub-Saharan Africa,MICS,2018,0.2435406636,49.2861537377,49.4136070948,23.8874233284,23.538894421,5087.584,4985.289,5087.584,66.0370691543,3359.69140625,1655.8626708984,20.1903417706,27.7473568916,52.0622968674,15.9774783459,4.2128637196,15.6334938369,12.1138638722,11.1630760819,10.0145901957,5.0013495715,10.4538315794,8.2052782701,7.2241745268
