"country code",Country,World region,Survey,Year,Multidimensional Poverty Index,Headcount ratio: Population in multidimensional poverty,Intensity of deprivation among the poor,Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health ,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
NIC,Nicaragua,Latin America and the Caribbean,DHS,2012,0.6019770205,90.8788153757,66.2395320643,5.0026437668,76.274225419,17954.407,23443.393,24333.639,86.7200291552,21102.138671875,19177.373046875,21.7130303383,36.8933916092,41.3935780525,16.449751185,5.2632787696,20.4631072778,16.4302850699,8.3352331682,7.7833871702,5.5531219118,7.5707390677,8.1851823556,3.9659140241
NER,Niger,Sub-Saharan Africa,DHS,2012,0.2690925264,48.4867850377,55.4981168987,18.860581212,28.9796715782,198387.623,203304.492,208327.405,87.2450154044,181755.28125,88127.2890625,31.152638793,28.5039663315,40.3433918953,22.2388796505,8.9137597248,12.5820876974,15.9218789449,9.8488966544,7.7135170725,5.4684623179,6.9540892206,7.2314204615,3.1270082553
NGA,Nigeria,Sub-Saharan Africa,DHS,2018,0.0013942994,0.3591587156,38.8212614143,1.8513523611,0.0641103423,2114.176,2114.176,2111.072,81.6399588394,1723.4782714844,6.1900224686,28.4162521362,52.9825389385,18.601205945,2.8770331525,25.53921988,40.0547677718,12.9277715102,6.7565380656,4.0754607534,0.2046023144,3.8381300679,0,3.7264764842
MKD,North Macedonia,Europe and Central Asia,MICS,2019,0.2006189662,38.6036638551,51.9688926364,12.5472457367,21.8383937354,219731.479,223293.28,227196.741,90.2148651054,204965.234375,79124.09375,28.0449897051,41.2445634604,30.7104468346,23.1497461524,4.8952425151,20.3960291594,20.8485362367,8.6188339756,5.9201694813,2.2889236339,2.0518536949,8.5930527681,3.2376123826
PAK,Pakistan,South Asia,DHS,2018,0.0017952205,0.5193302943,34.5679910018,1.131628804,0.0069170237,5019.401,4909.775,5019.401,93.5468101292,4695.4897460938,24.3851013184,60.95713377,34.1954678297,4.8473980278,41.8900196759,19.0671142551,2.1981981532,31.9972699352,1.1098748567,1.0604231252,0.806112638,0,1.5939339173,0.2770534434
PSE,"Palestine, State of",Arab States,MICS,2020,0.2637064585,57.0379731004,46.2334904504,25.7704458457,25.257518777,9329.227,9542.486,9749.64,84.4621938349,8234.759765625,4696.9399414063,4.7366149724,29.5492947102,65.7140910625,,4.7366150998,11.865284388,17.6840100119,11.9330340416,10.7883508679,9.5939910477,11.7195550986,11.2240435563,10.4551158882
PNG,Papua New Guinea,East Asia and the Pacific,DHS,2018,0.0199087179,4.6306287058,42.9935526377,7.0119465643,1.1041209879,6266.615,6530.026,6618.695,61.2715854587,4055.3793945313,187.78956604,14.4004762173,39.2955034971,46.3040232658,11.087923742,3.3125526232,25.2521356051,14.0433654249,12.4290086659,11.0827443829,6.0056958797,2.9476234911,10.4612860016,3.3776641837
PRY,Paraguay,Latin America and the Caribbean,MICS,2016,0.0308880294,7.7680058518,39.7631387088,10.3019900041,1.3404313757,32824.861,32824.861,33304.756,74.9180238358,24951.265625,1938.2158203125,16.9458776712,31.4742743969,51.5798449516,14.3576005571,2.5882777206,15.3068253945,16.1674489343,11.1747871273,11.6529924633,6.003283668,4.2085589452,13.1515173827,5.388707807
PER,Peru,Latin America and the Caribbean,ENDES,2019,0.0250276381,5.9313516194,42.1955057371,7.5365605403,1.3629254719,106738.501,110380.804,112190.977,82.6711054725,92749.5234375,5501.3002929688,20.8701178432,30.5658280849,48.564055562,,20.8701184209,19.8545101623,10.7113171927,11.906448093,8.2397442881,4.5951481253,5.9006089727,10.1582605021,7.7638442428
PHL,Philippines,East Asia and the Pacific,DHS,2017,0.222869729,47.4615585512,46.9579457177,22.9702779358,18.6513946479,13146.362,12835.028,13146.362,73.1297316255,9613.8994140625,4562.9067382813,20.2274233103,25.7121384144,54.0604352951,17.7133521685,2.5140717897,20.0783090492,5.6338304852,11.8039178524,5.750280405,8.642472328,8.7065967243,10.7333837827,8.4237854149
