ISOcountry code,country,World region,Continent,Survey,Year,Admin,Admin name Region,admin level,Population Share (%),MPI,"Headcount Ratio (H, %)","Intensity (A, %)"
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Borno,1,1.5,0.315,72.5,43.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,"Cross
River",1,2.2,0.299,75.4,39.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,state,Delta,1,2.7,0.173,47.6,36.4
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Ebonyi,1,2.2,0.32,78,41.1
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Edo,1,1.9,0.126,35.4,35.6
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Ekiti,1,1.7,0.125,36,34.9
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Enugu,1,2,0.234,63.1,37.2
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Gombe,1,1.7,0.38,86.2,44
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Imo,1,2.1,0.142,40.7,35
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Jigawa,1,3.2,0.385,84.3,45.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Kaduna,1,5.1,0.298,73.9,40.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Kano,1,7.5,0.27,66.3,40.8
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Katsina,1,4.5,0.304,72.7,41.7
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Kebbi,1,2.5,0.385,82.2,46.8
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Kogi,1,2.2,0.25,61.3,40.8
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Kwara,1,1.7,0.185,48.3,38.2
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Lagos,1,6.8,0.101,29.4,34.3
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Nasarawa,1,1.1,0.243,60.7,39.9
NGA,Nigeria,Sub-Saharan Africa,Africa,MPIS,2022,State,Niger,1,2.5,0.278,69.1,40.2
