"country code",Country,World region,Survey ,Year,"Multidimensional Poverty Index","Headcount ratio: Population in multidimensional poverty (H)","Intensity of deprivation among the poor(A)",Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
SWZ,eSwatini,Sub-Saharan Africa,MICS,2014,0.0922536245,21.6672687969,42.577412661,22.3414608672,5.289129646,1125.865,1169.613,1180.655,48.6446839146,574.3258666992,124.4407272339,29.7340095043,16.3777545094,53.8882374763,24.4227537413,5.311256104,11.9749529077,4.4028018772,12.2998091416,9.074299343,8.6290331119,10.8146296682,5.9595020567,7.1109620485
ETH,Ethiopia,Sub-Saharan Africa,DHS,2019,0.3400271982,65.5707061383,51.8565710536,18.4236315359,37.8689758071,114120.594,114120.594,117190.911,17.7136422487,20758.779296875,13611.677734375,10.2423369884,34.2201948166,55.537468195,8.6585748747,1.5837619356,19.953542545,14.2666506143,10.5557207662,10.0537986056,7.2319933127,8.3515141326,10.3996040491,8.9448391642
GAB,Gabon,Sub-Saharan Africa,DHS,2012,0.0798392181,17.7613049522,44.9512118036,18.8534312305,5.8517078637,1836.705,2242.785,2292.573,30.8299871038,706.799987793,125.5369033813,30.1958948374,22.5505501032,47.2535520792,22.4131535935,7.782741738,14.9465126537,7.6040375043,7.507734568,11.6675145886,8.6515642462,6.1221316498,7.3802688745,5.9243405834
GMB,Gambia,Sub-Saharan Africa,DHS,2020,0.1242061533,26.5888795966,46.7135716766,30.5863482777,9.9748641372,2573.995,2508.883,2573.995,19.2536783908,495.5887145996,131.771484375,32.2474569082,34.6574723721,33.0950707197,24.1645304427,8.0829268493,11.0016571086,23.6558145744,11.8663969322,8.3331654309,2.4661487776,6.5362345431,1.7680223289,2.1251030125
GEO,Georgia,Europe and Central Asia,MICS,2018,0.0008031434,0.2358385714,34.0547923862,1.6285980175,0,3772.325,3770.811,3765.912,26.2393259627,988.1499023438,2.3304386139,10.3163078427,48.9407390356,40.7429516315,10.3163079882,0,20.5924448143,28.3482930345,11.0420160894,5.5850636051,8.1689994351,0,9.6357296802,6.3111453531
GHA,Ghana,Sub-Saharan Africa,MICS,2018,0.098241777,22.9971810663,42.7190518238,20.189838502,5.3594878762,30870.641,31522.29,32180.401,29.2607030493,9416.2119140625,2165.4633789063,22.4318936467,29.1071474552,48.460957408,18.6017740334,3.8301196885,19.9355768329,9.1715713545,12.9210524067,12.4719121776,4.1958514389,5.8754564079,5.5444370166,7.4522486429
GTM,Guatemala,Latin America and the Caribbean,DHS,2015,0.1192662243,25.8115913455,46.2064592309,19.6324804812,9.6780923405,16001.107,17106.338,17362.718,21.4215406995,3719.3618164063,960.0264892578,24.7483506799,37.3516976833,37.8999501467,22.7145760388,2.033774932,22.813571527,14.5381265252,11.5609128952,4.5589356309,3.9876146243,3.7416458379,9.226865484,4.8239765046
GIN,Guinea,Sub-Saharan Africa,DHS,2018,0.3103607066,59.3206625181,52.3191571679,17.9920683718,33.1972057472,12554.864,12877.539,13205.153,16.1500723212,2132.6418457031,1265.0972900391,17.6800012589,37.9367798567,44.3832188845,15.0007680321,2.6792327251,21.4899925277,16.4467877521,10.5602162862,8.7695428488,5.8430190587,8.0892839945,5.2088037132,5.9123530616
GNB,Guinea-Bissau,Sub-Saharan Africa,MICS,2019,0.2296777979,47.6436239927,48.2074575048,27.2768935867,19.3981711699,1970.457,1970.457,2015.828,19.4590159991,392.2602844238,186.887008667,16.1818236113,31.1840176582,52.6341557503,12.971557204,3.2102658335,19.1453326884,12.0386864731,11.5140837971,10.8697161848,5.551545598,8.8482830291,11.3636582959,4.4868708959
GUY,Guyana,Latin America and the Caribbean,MICS,2020,0.0034872926,0.9060007899,38.4910545672,6.822916515,0.1002818146,797.202,798.753,797.202,38.5200114586,307.0823059082,2.7821681499,20.4866439104,30.9587240219,48.5546290874,18.6495303194,1.8371142814,15.5655869621,15.3931377893,7.650724086,5.5517087232,5.8920169844,8.5318488765,9.8072022616,11.121129716
