"country code",Country,World region,Survey ,Year,"Multidimensional Poverty Index","Headcount ratio: Population in multidimensional poverty (H)","Intensity of deprivation among the poor(A)",Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
SYC,Seychelles,Sub-Saharan Africa,QLFS,2019,0.0025531792,0.7365330463,34.6648288512,0.2106516752,0.0456584317,104.373,104.373,105.53,60.7610255741,64.1211090088,0.4722731709,68.0451095104,31.0943335295,0.8605607785,32.532305795,35.5128010999,31.0943323254,,,0.8605607797,0,0,0,0
SLE,Sierra Leone,Sub-Saharan Africa,DHS,2019,0.2492564834,52.5049834182,47.4729191688,25.0738334776,21.9972090369,8046.828,8046.828,8233.97,25.8683006743,2129.9880371094,1118.3498535156,22.2731411457,23.8683357835,53.8585186005,17.599230015,4.6739117386,15.9879321833,7.8804036317,11.6917034399,10.409447522,6.5016474072,10.3890731469,7.2415134515,7.6251374639
ZAF,South Africa,Sub-Saharan Africa,DHS,2016,0.0287259449,7.3076602006,39.3093604876,13.0766670403,0.8281911043,56422.274,58087.055,58801.927,51.9193556267,30529.58203125,2230.998046875,39.8113012314,10.7103593647,49.4783401489,29.9130898913,9.8982107452,8.6721324793,2.0382271689,10.2995720509,3.5981079485,9.2701249758,8.3534893924,9.7871630005,8.1698823473
SSD,South Sudan,Sub-Saharan Africa,MICS,2010,0.6127621622,95.012371186,64.4928817775,4.0049595408,80.6601537287,9714.419,10447.666,10606.227,39.8019568157,4221.4858398438,4010.9338378906,12.5660046935,41.5009319782,45.9330677986,9.4351073392,3.1308968085,20.8775621742,20.6233687402,8.5748248924,8.1605005902,4.9770560755,8.4748875972,8.5382332359,7.2075625468
LKA,Sri Lanka,South Asia,SLDHS,2016,0.0140038885,3.7102459775,37.7438277934,14.9691625669,0.2400955369,21425.494,21649.664,21715.079,20.1328569123,4371.8657226563,162.2069702148,23.7902715802,30.6849837303,45.5247431993,22.6125872904,1.1776846034,22.5445813596,8.1404025933,12.8464212461,7.6966521796,5.7503236525,4.1023642346,7.513676553,7.6153062875
SDN,Sudan,Arab States,MICS,2014,0.2945896013,56.7244874017,51.9334091404,15.9975433938,31.9122274445,37003.245,43232.093,44440.486,11.2324758825,4991.7670898438,2831.5541992188,14.8978590965,31.4933419228,53.6087989807,12.9236801963,1.9741790794,17.6909497967,13.8023920542,9.3589217285,9.5588122894,7.2524166726,8.8410500041,10.6679142901,7.9296838887
SUR,Suriname,Latin America and the Caribbean,MICS,2018,0.0192571139,4.8340127261,39.8367050734,4.9095928578,0.7306210511,593.715,600.301,607.065,41.5292524234,252.1095581055,12.1870079041,17.7490115166,43.8885480165,38.3624374866,12.1832354096,5.5657760368,29.429321458,14.4592263444,5.2474655296,9.8979843821,2.6434911893,4.9455277141,6.3193527163,9.3086192199
TJK,Tajikistan,Europe and Central Asia,DHS,2017,0.0233187712,6.0558225025,38.5063650931,16.3832815001,0.2827863815,8925.525,9337.003,9543.207,16.9414678507,1616.7593994141,97.9080810547,44.2672848701,32.2229653597,23.50974828,34.5287682886,9.7385175979,1.6365999262,30.5863665021,6.1563187687,0.1459860965,4.9628409687,0.0265957931,10.6494930642,1.568512994
TZA,Tanzania,Sub-Saharan Africa,DHS,2016,0.3131110889,62.7873721362,49.8684812315,20.7116865717,32.9965420438,54401.802,59872.579,61704.518,20.6651504567,12751.3310546875,8006.2255859375,18.8996911049,24.0242555737,57.0760548115,16.0995779566,2.8001127231,10.1216242843,13.9026310563,11.1246819757,10.454767953,8.1295625437,10.5936064143,9.2236292521,7.5498058408
THA,Thailand,East Asia and the Pacific,MICS,2019,0.0026784307,0.7241049212,36.9895385498,6.1578481605,0.0382283331,71307.763,71307.763,71475.664,37.6984789063,26945.23828125,195.1118011475,38.5442763567,46.4841187,14.9716034532,27.0262465456,11.5180307565,30.6656430545,15.8184757468,7.815528061,1.6525473393,1.0085782875,0.6109522301,1.9647391543,1.9192588244
TLS,Timor-Leste,East Asia and the Pacific,DHS,2016,0.2158746413,48.0014481435,44.972526796,26.8813653982,15.5916583812,1224.562,1280.438,1299.995,12.7611858759,165.8947753906,79.6318969727,25.8559912443,24.0460842848,50.0979244709,24.4686860015,1.387304412,15.5002897821,8.5457956494,12.157500155,8.8822604442,4.6232516758,5.1717464721,10.8109112544,8.4522541535
TGO,Togo,Sub-Saharan Africa,MICS,2017,0.1658871866,36.1602785673,45.8755278399,23.9435671157,13.3544644675,7852.795,8243.094,8442.58,21.4198512673,1808.3880615234,653.9181518555,14.5772024989,29.9656361341,55.4571628571,10.9341854101,3.6430175265,22.3070374023,7.6585991534,11.9880404213,11.5606479512,6.1271956272,9.3483113166,7.3228943135,9.1100708779
TON,Tonga,East Asia and the Pacific,MICS,2019,0.0004502769,0.1350830698,33.3333333334,7.0082997914,0,104.951,104.951,105.254,20.5381188647,21.6171913147,0.0292011648,0,50,50,0,0,5.9261460783,44.0738539217,16.6666666667,0,0,0,16.6666666667,16.6666666667
TTO,Trinidad and Tobago,Latin America and the Caribbean,MICS,2011,0.0027290279,0.7531244175,36.2360829043,4.1741745237,0.0164720094,1420.02,1519.955,1518.147,31.8057433632,482.8579406738,3.636521101,43.6970204115,36.7496997118,19.5532828569,16.8158910208,26.8811276984,22.6800931607,14.0696059014,0,3.8103947091,0,5.1888411086,8.5374092149,2.016637186
TUN,Tunisia,Arab States,MICS,2018,0.0049707102,1.4048913842,35.3814558594,4.8459438404,0,11933.041,12049.314,12161.723,10.8549940704,1320.154296875,18.5467338562,14.3097579479,59.3516290188,26.3386160135,10.467932866,3.8418250223,44.6670357017,14.6845917628,0.1992622127,7.1463764552,5.7902246442,2.6896593585,3.1745504827,7.3385414938
TKM,Turkmenistan,Europe and Central Asia,MICS,2019,0.0003176242,0.0952872626,33.3333333333,0.1598551839,0,6158.42,6158.42,6250.438,21.5269804601,1345.5305175781,1.2821191549,100,0,0,50,50,0,0,,0,0,0,0,0
TUV,Tuvalu,East Asia and the Pacific,MICS,2020,0.0064577412,1.7369097025,37.1794871795,7.3148536947,0,11.069,10.956,11.069,16.1906981474,1.7921483517,0.0311279986,17.2413796186,44.8275864124,37.9310369492,17.2413793103,0,13.7931034483,31.0344827586,6.8965517241,6.8965517241,0,4.5977011494,14.9425287356,4.5977011494
UGA,Uganda,Sub-Saharan Africa,DHS,2016,0.2973653236,59.0390205444,50.3675909338,21.632405888,28.8885119491,38748.299,42949.08,44404.611,29.3994253702,13054.7001953125,7707.3671875,20.1132133603,24.9465122819,54.9402713776,17.5641785246,2.5490342328,17.0422256307,7.9042873938,10.9884516686,9.7607897054,7.7164741975,10.0539932371,9.4691139541,6.9514514555
UKR,Ukraine,Europe and Central Asia,MICS,2012,0.0012102102,0.3545729966,34.1314818629,0.7070489793,0,45406.226,44211.094,43909.666,42.8560534589,18817.94921875,66.7233657837,44.2131370306,43.1973725557,12.5894889235,,44.2131356041,26.7242058913,16.4731688711,3.9780802069,2.6511019724,1.5599305656,0.4664554167,1.5668284171,2.3670930548
VNM,Viet Nam,East Asia and the Pacific,MICS,2021,0.0056992391,1.4692174311,38.7909845353,4.1704385951,0.2090978325,97468.029,95776.716,96648.685,25.4347131356,24582.31640625,361.1676635742,6.1007134616,52.4464964867,41.4527863264,,6.1007134456,37.450390865,14.9961064078,11.42801377,11.6474672833,3.4067045099,0.4129330934,8.4383677459,6.1193028791
YEM,Yemen,Arab States,DHS,2013,0.209155006,42.9209592766,48.7302729261,21.9913739785,19.0902659186,26984.002,31546.691,32284.046,5.5333666734,1786.3946533203,766.7377319336,24.3183046579,35.385158658,40.2965337038,21.5868833449,2.731421834,18.3643539747,17.0208055875,6.1268611016,8.7385853766,6.2242010938,4.5103963498,10.1141626072,4.5823287299
ZMB,Zambia,Sub-Saharan Africa,DHS,2018,0.2504069503,50.7627367719,49.3288908726,23.671654797,24.3262994073,17835.893,18380.477,18927.715,22.8811022289,4330.8696289063,2198.4680175781,17.5510317087,27.0056545734,55.4433107376,14.6810833014,2.8699489616,11.7288455566,15.2768099277,11.2420363524,9.5644069131,6.3913850821,10.3861193991,9.4724625184,8.3869019876
ZWE,Zimbabwe,Sub-Saharan Africa,MICS,2019,0.1279866658,29.3665485656,43.5824678124,26.1376961117,8.9084267545,15354.608,15354.608,15669.666,35.4967111613,5562.2163085938,1633.4309082031,20.5080211163,19.8002666235,59.6917152405,16.0421450937,4.465876479,8.0120569953,11.7882098052,12.4730471918,10.7305095269,9.8027338071,10.1792767029,7.6031672247,8.9029771733
