"ISO country code",Country,Survey Year,Location,Child mortality,Nutrition,School attendance,Years of schooling,Electricity,Water,Sanitation,Housing,Cooking fuel,Assets
NPL,Nepal,2019,National,2.200,20.900,7.800,26.100,4.100,2.000,4.900,12.200,12.100,7.700
NPL,Nepal,2019,Urban,1.900,20.200,7.300,26.300,4.800,1.900,4.100,12.500,12.600,8.400
NPL,Nepal,2019,Rural,2.6,21.6,8.4,25.6,3.4,2.1,5.7,11.8,11.6,6.9
